user_id,item_id,age,gender,user_level,purchase_freq,total_spend,register_days,follow_num,fans_num,price,discount_rate,category,title_length,title_emo_score,img_count,has_video,like_num,comment_num,share_num,collect_num,is_follow_author,add2cart,coupon_received,coupon_used,pv_count,last_click_gap,interaction_rate,purchase_intent,freshness_score,social_influence,label
U00000001,I00015796,18,0,1,9,2675.46,1463,30,0,21.04,0.22,服饰鞋包,27,0.348,6,0,580,130,84,146,0,0,0,0,20,19.1,62.429,14.6,0.557,312.14,0
U00000002,I00000861,18,1,4,43,3750.26,450,16,1,171.95,0.0,服饰鞋包,11,0.612,1,1,4,0,0,1,0,1,0,0,13,5.5,0.393,5.1,0.814,1.96,1
U00000003,I00076821,36,1,7,5,801.8,801,41,0,107.82,0.0,服饰鞋包,21,0.566,5,1,5,0,0,0,0,0,0,0,1,0.7,2.5,0.0,0.972,12.5,1
U00000004,I00054887,20,1,4,33,3903.82,243,65,8,115.44,0.125,数码家电,25,0.548,7,0,5,1,0,1,0,1,0,0,5,5.5,1.417,5.1,0.814,7.08,1
U00000005,I00006266,23,0,6,12,2856.42,609,9,0,66.69,0.0,食品生鲜,32,0.801,4,1,14,2,1,3,0,0,1,0,59,8.5,0.425,3.3,0.738,2.12,1
U00000006,I00082387,21,0,3,29,459.36,1023,10,0,78.55,0.147,服饰鞋包,49,0.65,3,0,12,2,0,3,0,0,0,0,12,0.4,1.577,0.3,0.984,7.88,0
U00000007,I00037195,34,1,5,8,307.73,381,15,0,176.93,0.0,数码家电,29,0.469,4,0,960,241,106,292,1,0,0,0,15,1.6,137.375,29.2,0.938,696.88,0
U00000008,I00087499,40,1,4,15,1794.89,160,7,1,30.6,0.326,美妆个护,47,0.382,5,0,59,13,6,17,0,0,1,1,5,6.8,21.417,4.7,0.779,107.08,1
U00000009,I00044132,27,1,2,11,716.64,318,1,0,53.45,0.113,服饰鞋包,16,0.628,3,0,1,0,0,0,0,0,0,0,8,8.0,0.111,0.0,0.75,0.56,0
U00000010,I00060264,23,1,2,6,3751.25,480,30,0,73.52,0.0,服饰鞋包,17,0.606,3,0,9,1,1,1,1,0,0,0,15,14.6,0.969,0.1,0.622,14.84,0
U00000011,I00016024,25,0,5,4,3163.16,591,3,0,36.47,0.383,服饰鞋包,30,0.924,2,1,42,11,4,7,0,0,0,0,6,16.3,12.357,0.7,0.596,61.78,1
U00000012,I00041091,34,1,2,21,1620.89,1,61,1,517.35,0.209,其他,36,0.511,4,0,4,0,0,1,0,0,0,0,4,28.2,1.1,0.1,0.46,5.5,0
U00000013,I00067222,31,1,5,9,5065.71,736,6,0,56.69,0.355,服饰鞋包,38,0.502,3,0,38,7,5,8,0,0,0,0,2,1.7,26.333,0.8,0.934,131.66,1
U00000014,I00064821,24,1,6,7,1109.12,241,5,1,15.66,0.0,美妆个护,42,0.611,1,0,47,6,4,9,0,1,1,0,7,1.9,10.562,8.9,0.927,52.81,0
U00000015,I00000770,26,0,3,7,873.45,282,9,25,50.99,0.308,美妆个护,32,0.766,3,0,3,0,0,1,0,1,0,0,22,18.4,0.196,5.1,0.566,0.98,0
U00000016,I00059736,21,0,3,2,4406.15,877,18,0,112.25,0.0,服饰鞋包,16,0.721,1,0,34,9,1,11,0,0,0,0,6,9.0,10.214,1.1,0.727,51.07,0
U00000017,I00062956,21,0,4,8,2073.77,1024,15,0,41.78,0.0,食品生鲜,7,0.612,1,1,0,0,0,0,0,0,0,0,4,13.6,0.0,0.0,0.638,0.0,0
U00000018,I00064926,18,0,6,7,1384.15,494,14,0,62.51,0.0,美妆个护,31,0.553,5,0,9,2,0,1,0,0,0,0,1,8.3,7.25,0.1,0.743,36.25,0
U00000019,I00067970,36,0,1,5,7074.83,1032,5,1,125.84,0.331,美妆个护,36,0.693,3,0,579,134,54,198,0,0,1,0,24,2.9,52.24,22.8,0.892,261.2,0
U00000020,I00005312,18,0,6,7,461.76,907,4,0,10.03,0.0,服饰鞋包,38,0.543,2,0,5,0,0,0,0,1,0,0,4,4.0,1.0,5.0,0.857,5.0,1
U00000021,I00083105,29,0,2,4,5088.34,1162,7,0,155.04,0.0,食品生鲜,50,0.497,3,1,8,1,1,1,0,0,0,0,3,10.6,3.625,0.1,0.694,18.12,0
U00000022,I00053708,26,1,4,4,6032.36,566,11,4,52.23,0.143,食品生鲜,41,0.512,1,1,6,1,0,2,0,0,1,1,5,1.0,1.833,3.2,0.96,9.16,1
U00000023,I00085306,26,0,5,27,864.93,533,17,0,18.6,0.0,服饰鞋包,11,0.418,3,1,2,0,0,0,0,1,0,0,16,10.9,0.118,5.0,0.688,0.59,1
U00000024,I00028694,22,0,4,21,1443.64,702,15,0,154.6,0.0,美妆个护,33,0.558,1,1,16,3,1,3,0,0,0,0,88,2.0,0.331,0.3,0.923,1.66,0
U00000025,I00071933,24,0,3,37,899.68,427,190,0,240.32,0.222,食品生鲜,27,0.486,3,1,483,117,48,190,0,0,1,0,52,29.0,21.623,22.0,0.453,108.12,0
U00000026,I00025659,41,1,2,7,689.79,534,42,2,62.99,0.391,美妆个护,28,0.541,3,0,1,0,0,0,0,0,0,0,9,23.8,0.1,0.0,0.502,0.5,1
U00000027,I00084479,27,0,5,1,962.36,223,16,0,61.41,0.113,服饰鞋包,12,0.705,2,0,36,6,2,5,0,0,0,0,6,0.6,8.786,0.5,0.976,43.93,1
U00000028,I00018432,28,0,5,26,4039.76,853,18,0,20.68,0.076,服饰鞋包,23,0.776,3,0,10,2,0,3,0,1,0,0,2,7.1,6.167,5.3,0.772,30.84,0
U00000029,I00002748,28,1,4,2,1206.45,398,13,0,459.82,0.0,数码家电,30,0.506,2,0,17,2,1,3,0,0,0,0,3,22.1,7.125,0.3,0.521,35.62,0
U00000030,I00059151,21,1,5,20,3029.65,272,14,0,141.29,0.258,其他,42,0.821,5,0,10,2,0,1,0,0,0,0,5,12.7,2.583,0.1,0.654,12.92,1
U00000031,I00065726,22,1,4,3,2759.59,568,12,2,44.43,0.0,家居日用,14,0.477,3,0,1,0,0,0,1,0,0,0,6,14.0,0.143,0.0,0.632,10.72,0
U00000032,I00084655,31,1,5,9,2192.55,865,5,0,38.05,0.23,数码家电,5,0.747,1,0,6,0,0,1,0,0,0,0,2,19.6,2.5,0.1,0.55,12.5,0
U00000033,I00035774,20,1,6,15,2894.14,644,8,0,98.72,0.104,服饰鞋包,16,0.575,1,0,1,0,0,0,0,0,0,0,4,13.3,0.2,0.0,0.643,1.0,0
U00000034,I00067436,26,1,3,9,1354.79,716,17,0,168.32,0.185,其他,32,0.393,1,0,26,7,3,8,0,0,1,1,13,25.0,4.357,3.8,0.49,21.78,1
U00000035,I00056887,36,0,5,16,2784.31,700,17,1,12.04,0.158,服饰鞋包,32,0.776,2,1,20,5,2,5,0,0,0,0,6,11.8,6.214,0.5,0.67,31.07,0
U00000036,I00066804,21,0,7,10,2437.0,941,46,4,177.48,0.276,美妆个护,20,0.791,4,1,3,0,0,0,0,0,0,0,1,23.0,1.5,0.0,0.511,7.5,1
U00000037,I00031552,26,0,3,4,572.66,319,3,0,104.75,0.248,服饰鞋包,18,0.482,1,0,1,0,0,0,1,0,0,0,44,12.2,0.022,0.0,0.663,10.11,1
U00000038,I00011395,24,1,6,1,1009.27,395,3,0,62.25,0.0,数码家电,9,0.783,1,0,5,1,0,1,0,0,0,0,7,14.7,1.062,0.1,0.62,5.31,1
U00000039,I00069093,31,1,4,33,2191.27,434,27,0,12.07,0.0,美妆个护,31,0.618,4,0,0,0,0,0,0,1,0,0,2,9.9,0.0,5.0,0.708,0.0,0
U00000040,I00003891,28,0,1,13,1263.58,494,31,0,53.49,0.353,服饰鞋包,39,0.864,3,1,1,0,0,0,0,1,1,1,2,5.0,0.333,8.0,0.828,1.66,1
U00000041,I00041607,21,0,3,3,7474.17,25,37,0,36.03,0.156,其他,46,0.349,2,1,73,20,9,27,0,0,0,0,6,3.4,25.786,2.7,0.876,128.93,0
U00000042,I00080039,22,1,6,38,1568.84,350,3,0,101.77,0.345,服饰鞋包,31,0.663,5,1,1,0,0,0,1,0,0,0,16,8.6,0.059,0.0,0.736,10.3,0
U00000043,I00087314,21,1,4,9,310.07,302,45,1,36.1,0.484,食品生鲜,14,0.541,1,0,8,0,1,2,0,0,0,0,9,67.2,1.4,0.2,0.263,7.0,0
U00000044,I00010628,21,1,6,16,1829.28,562,12,2,22.38,0.0,数码家电,24,0.537,4,1,2,0,0,0,0,0,0,0,3,18.7,0.5,0.0,0.562,2.5,0
U00000045,I00008793,18,0,4,30,5968.4,1,8,0,207.53,0.0,食品生鲜,41,0.395,2,0,13,3,1,3,0,1,1,1,19,7.1,1.325,8.3,0.772,6.62,1
U00000046,I00073970,28,0,1,22,1308.96,442,6,0,118.47,0.0,家居日用,27,0.735,5,1,3,0,0,0,0,0,1,1,2,0.7,1.0,3.0,0.972,5.0,0
U00000047,I00043002,21,1,5,22,988.13,1140,52,0,11.5,0.343,服饰鞋包,18,0.657,3,1,13,2,1,3,0,0,0,0,8,7.0,2.722,0.3,0.774,13.61,0
U00000048,I00076553,30,0,4,4,2120.48,134,23,0,60.78,0.0,服饰鞋包,26,0.821,3,0,44,12,5,9,0,0,1,1,5,5.8,16.083,3.9,0.805,80.41,0
U00000049,I00023898,27,1,1,9,820.85,741,12,1,42.19,0.0,美妆个护,15,0.891,5,0,3,0,0,0,0,0,0,0,1,10.1,1.5,0.0,0.704,7.5,0
U00000050,I00068149,23,0,3,16,2035.16,469,24,0,88.59,0.101,其他,18,0.577,2,1,5,0,0,1,0,0,0,0,1,6.9,3.25,0.1,0.777,16.25,0
U00000051,I00023484,23,0,2,17,5266.26,571,3,3,43.5,0.099,食品生鲜,19,0.761,2,1,26,6,2,7,0,0,1,0,2,19.8,18.167,3.7,0.548,90.84,0
U00000052,I00048556,18,0,4,18,4125.48,927,7,3,147.38,0.144,数码家电,27,0.715,3,0,5,0,0,1,0,0,0,0,2,16.4,2.167,0.1,0.594,10.84,0
U00000053,I00017160,28,1,3,5,2142.43,787,32,1,176.95,0.045,服饰鞋包,32,0.399,3,1,1,0,0,0,0,0,0,0,7,9.1,0.125,0.0,0.725,0.62,0
U00000054,I00080078,26,1,3,24,1680.01,562,8,0,448.55,0.259,服饰鞋包,37,0.406,4,0,10,1,0,1,0,0,0,0,5,6.0,2.25,0.1,0.8,11.25,0
U00000055,I00035921,22,1,5,10,995.82,472,5,0,224.96,0.212,家居日用,34,0.622,1,1,19,4,2,7,0,0,0,0,7,10.4,5.438,0.7,0.698,27.19,1
U00000056,I00067122,18,1,6,4,632.2,331,4,0,124.13,0.201,服饰鞋包,14,0.659,4,0,87,23,9,20,0,0,0,0,3,5.3,47.5,2.0,0.819,237.5,1
U00000057,I00069480,25,1,7,2,1537.54,524,5,0,258.16,0.0,美妆个护,32,0.624,2,0,31,3,3,11,1,0,0,0,1,27.2,31.25,1.1,0.469,166.25,0
U00000058,I00089476,25,1,3,16,3152.72,659,1,0,36.85,0.446,服饰鞋包,26,0.668,1,1,66,14,6,15,0,0,0,0,14,2.5,8.967,1.5,0.906,44.84,1
U00000059,I00019458,35,0,3,7,788.54,513,3,0,70.67,0.125,美妆个护,33,0.601,7,0,1,0,0,0,0,0,0,0,63,11.4,0.016,0.0,0.678,0.08,0
U00000060,I00066558,27,1,4,7,929.82,327,24,0,109.57,0.386,服饰鞋包,44,0.576,5,0,21,2,2,5,0,0,0,0,17,9.1,2.139,0.5,0.725,10.69,1
U00000061,I00077190,36,0,3,8,1289.91,272,4,6,144.79,0.0,数码家电,26,0.641,3,1,12,2,1,4,0,0,0,0,1,23.7,12.5,0.4,0.503,62.5,0
U00000062,I00078954,21,1,5,8,549.38,906,8,0,73.44,0.46,家居日用,27,0.658,3,0,4,0,0,1,0,0,1,1,4,8.5,1.1,3.1,0.738,5.5,0
U00000063,I00052996,24,0,4,11,307.72,19,7,0,42.12,0.22,美妆个护,38,0.463,4,0,16,3,2,3,0,1,0,0,4,0.9,6.5,5.3,0.964,32.5,1
U00000064,I00040758,18,1,4,5,841.61,342,19,0,470.23,0.0,服饰鞋包,42,0.515,3,0,10,1,0,3,0,1,0,0,4,0.9,3.3,5.3,0.964,16.5,1
U00000065,I00009693,24,1,7,18,495.14,852,48,0,128.17,0.0,服饰鞋包,39,0.538,1,0,13,3,1,4,0,1,0,0,8,3.6,3.111,5.4,0.87,15.56,1
U00000066,I00045759,33,0,2,3,997.38,759,11,0,235.46,0.228,美妆个护,25,0.338,1,0,6,0,0,1,0,0,0,0,5,10.4,1.25,0.1,0.698,6.25,0
U00000067,I00072410,33,1,3,14,1584.06,174,10,0,91.67,0.234,家居日用,19,0.329,4,0,53,9,2,14,0,1,0,0,1,7.8,49.0,6.4,0.755,245.0,1
U00000068,I00071212,28,0,1,10,772.54,473,19,1,112.71,0.287,服饰鞋包,31,0.856,3,1,29,3,1,6,0,0,0,0,3,8.2,11.75,0.6,0.745,58.75,0
U00000069,I00065698,18,0,7,7,403.99,586,11,1,47.63,0.206,家居日用,27,0.902,3,0,10,2,1,2,0,0,0,0,25,18.0,0.769,0.2,0.571,3.84,0
U00000070,I00037066,18,0,4,4,3089.65,705,22,1,46.43,0.387,服饰鞋包,18,0.474,1,0,13,2,0,5,1,1,0,0,4,0.1,4.9,5.5,0.996,34.5,1
U00000071,I00032607,25,0,3,2,1459.47,504,18,1,48.45,0.0,美妆个护,25,0.685,3,1,0,0,0,0,1,0,0,0,18,8.0,0.0,0.0,0.75,10.0,0
U00000072,I00011535,21,0,6,50,6412.95,987,21,0,97.69,0.299,服饰鞋包,23,0.429,4,0,18,2,0,5,0,0,0,0,4,1.6,5.9,0.5,0.938,29.5,0
U00000073,I00040398,32,1,4,12,256.38,490,25,0,5.86,0.112,服饰鞋包,32,0.725,2,0,19,3,2,6,0,0,0,0,9,1.5,4.0,0.6,0.941,20.0,0
U00000074,I00001017,30,1,1,4,372.5,552,16,0,18.24,0.0,美妆个护,12,0.655,2,1,163,18,11,54,1,0,0,0,2,1.8,104.333,5.4,0.93,531.66,0
U00000075,I00089790,29,1,4,8,1325.01,454,7,4,42.81,0.0,美妆个护,15,0.668,3,1,5,1,0,1,0,0,0,0,1,7.2,4.25,0.1,0.769,21.25,0
U00000076,I00055592,22,0,2,50,3934.01,871,32,1,12.97,0.247,家居日用,21,0.385,6,0,62,15,3,20,0,0,0,0,1,9.5,65.5,2.0,0.716,327.5,0
U00000077,I00089813,28,0,7,21,1495.2,280,19,1,116.82,0.397,服饰鞋包,24,0.762,8,1,7,1,0,1,0,1,1,1,4,4.5,2.1,8.1,0.842,10.5,1
U00000078,I00023248,29,0,6,21,3719.71,1,78,0,74.09,0.243,美妆个护,45,0.744,1,1,0,0,0,0,0,0,1,1,2,0.1,0.0,3.0,0.996,0.0,1
U00000079,I00024301,24,0,5,36,512.54,643,1,0,52.25,0.0,服饰鞋包,25,0.552,3,0,300,43,37,98,0,0,0,0,1,7.5,322.0,9.8,0.762,1610.0,0
U00000080,I00074066,25,0,5,22,495.14,553,13,0,78.66,0.0,食品生鲜,30,0.865,2,0,3,0,0,0,0,0,0,0,13,33.1,0.214,0.0,0.42,1.07,0
U00000081,I00082799,29,1,1,12,1564.1,723,22,0,64.84,0.174,服饰鞋包,24,0.589,6,0,40,9,3,14,0,1,0,0,4,0.3,17.6,6.4,0.988,88.0,0
U00000082,I00009269,18,0,3,7,1513.84,1107,28,0,55.49,0.226,数码家电,34,0.519,3,1,9,2,1,2,0,0,0,0,13,6.2,1.357,0.2,0.795,6.78,1
U00000083,I00086808,22,0,4,50,264.59,276,12,0,497.9,0.0,服饰鞋包,35,0.458,3,1,6,1,0,1,0,0,1,1,5,4.5,1.583,3.1,0.842,7.92,1
U00000084,I00012186,21,1,5,2,4974.71,547,6,0,84.36,0.053,服饰鞋包,35,0.62,2,0,34,5,3,5,0,0,0,0,5,7.0,10.083,0.5,0.774,50.42,0
U00000085,I00063705,34,1,2,36,632.38,492,86,0,39.37,0.326,服饰鞋包,38,0.675,4,0,39,5,4,11,0,0,0,0,3,10.6,19.375,1.1,0.694,96.88,1
U00000086,I00086780,22,0,5,9,632.03,596,8,0,34.3,0.0,美妆个护,38,0.738,1,0,1,0,0,0,0,1,0,0,3,10.0,0.25,5.0,0.706,1.25,1
U00000087,I00039100,27,1,4,6,543.79,727,14,0,86.7,0.088,美妆个护,5,0.563,2,0,19,4,1,3,1,0,0,0,14,0.8,2.3,0.3,0.968,21.5,1
U00000088,I00008572,32,1,4,2,4716.49,952,10,3,80.07,0.194,数码家电,48,0.462,1,0,101,11,9,38,0,0,0,0,10,11.1,18.818,3.8,0.684,94.09,0
U00000089,I00038045,20,0,6,13,6793.59,588,30,1,26.66,0.424,数码家电,30,0.602,4,1,14,4,1,2,0,0,0,0,3,22.7,7.0,0.2,0.514,35.0,0
U00000090,I00051215,34,0,5,3,4366.2,658,7,1,41.51,0.09,数码家电,13,0.89,3,1,20,5,2,3,0,0,1,0,6,3.7,5.786,3.3,0.866,28.93,0
U00000091,I00061229,34,1,3,11,2653.64,471,4,3,21.1,0.128,其他,21,0.688,6,0,0,0,0,0,0,0,0,0,7,1.1,0.0,0.0,0.956,0.0,1
U00000092,I00048985,18,0,4,13,3368.99,645,65,0,79.77,0.0,美妆个护,16,0.536,2,1,52,10,7,18,0,0,0,0,10,22.7,10.909,1.8,0.514,54.54,0
U00000093,I00040775,29,0,5,12,3712.49,133,27,0,79.06,0.0,家居日用,38,0.507,2,0,45,9,5,16,0,0,0,0,8,8.9,11.333,1.6,0.729,56.66,0
U00000094,I00002569,35,1,2,13,1114.97,1135,24,0,13.7,0.0,服饰鞋包,28,0.635,1,0,3,0,0,0,0,0,0,0,3,3.3,0.75,0.0,0.879,3.75,1
U00000095,I00062593,23,1,2,10,2511.68,10,3,0,60.65,0.0,数码家电,40,0.108,3,1,40,9,4,11,0,1,0,0,2,10.1,28.833,6.1,0.704,144.16,1
U00000096,I00067564,31,0,6,10,5090.21,518,4,0,52.21,0.078,服饰鞋包,58,0.669,1,1,0,0,0,0,0,0,1,0,24,12.0,0.0,3.0,0.667,0.0,0
U00000097,I00002696,18,0,3,9,1238.55,582,31,0,68.02,0.168,食品生鲜,29,0.719,5,0,0,0,0,0,0,0,0,0,15,3.5,0.0,0.0,0.873,0.0,0
U00000098,I00048191,18,1,3,11,612.16,696,11,0,54.5,0.236,其他,20,0.628,3,1,5,1,0,1,0,1,1,1,56,15.6,0.149,8.1,0.606,0.74,1
U00000099,I00005259,23,1,2,8,3495.42,489,9,2,443.36,0.09,服饰鞋包,35,0.697,3,1,7,0,0,1,0,0,1,1,1,5.2,4.25,3.1,0.822,21.25,0
U00000100,I00087539,19,0,2,4,3673.73,872,6,0,37.55,0.054,美妆个护,26,0.723,3,0,0,0,0,0,0,0,1,0,10,18.5,0.0,3.0,0.565,0.0,0
U00000101,I00039505,29,0,2,50,1546.14,475,36,0,78.29,0.333,服饰鞋包,13,0.611,3,0,5,0,0,0,0,1,0,0,5,4.6,0.833,5.0,0.839,4.16,1
U00000102,I00033160,29,1,5,2,12537.59,1050,10,1,81.4,0.194,食品生鲜,30,0.728,4,0,23,6,2,7,0,0,1,1,15,2.1,3.219,3.7,0.92,16.1,1
U00000103,I00013987,41,1,4,2,1600.54,249,24,0,97.94,0.0,服饰鞋包,32,0.579,4,0,1,0,0,0,0,1,0,0,1,31.0,0.5,5.0,0.436,2.5,0
U00000104,I00061859,33,1,3,2,320.07,644,2,0,28.7,0.0,服饰鞋包,40,0.469,2,0,4,0,0,0,0,0,0,0,1,7.4,2.0,0.0,0.764,10.0,0
U00000105,I00012667,22,0,3,5,1859.56,931,36,0,66.45,0.031,服饰鞋包,31,0.538,3,1,3,0,0,0,0,0,0,0,9,5.1,0.3,0.0,0.825,1.5,0
U00000106,I00038661,27,1,1,6,3264.13,500,8,0,132.84,0.193,服饰鞋包,34,0.796,2,0,3,0,0,0,0,0,0,0,20,14.7,0.143,0.0,0.62,0.72,0
U00000107,I00003562,28,0,4,3,9057.24,227,14,3,166.51,0.047,服饰鞋包,40,0.562,2,1,23,6,2,7,0,0,0,0,9,14.2,5.15,0.7,0.628,25.75,0
U00000108,I00026855,31,0,3,9,4527.04,334,5,0,165.1,0.0,服饰鞋包,37,0.482,3,0,1,0,0,0,0,1,0,0,7,8.1,0.125,5.0,0.748,0.62,0
U00000109,I00064506,18,0,2,4,2469.84,580,16,1,202.39,0.032,家居日用,46,0.426,3,0,15,3,1,2,0,1,0,0,12,5.7,2.077,5.2,0.808,10.38,0
U00000110,I00052252,23,0,5,6,3922.79,1011,29,1,44.51,0.154,服饰鞋包,10,0.74,3,1,14,2,1,4,0,0,0,0,3,13.0,6.75,0.4,0.649,33.75,1
U00000111,I00022663,35,0,2,9,8263.96,459,3,0,37.92,0.0,食品生鲜,30,0.659,7,0,1,0,0,0,0,0,0,0,4,2.6,0.2,0.0,0.902,1.0,0
U00000112,I00008393,30,1,5,11,1162.37,296,40,0,78.64,0.0,其他,23,0.766,4,0,17,4,1,6,1,0,0,0,14,4.0,2.467,0.6,0.857,22.34,1
U00000113,I00030536,27,1,3,11,2827.58,1146,5,0,8.6,0.309,数码家电,31,0.554,1,1,5,0,0,1,0,1,0,0,3,14.5,1.625,5.1,0.623,8.12,1
